"time","median","q025","q975","variable"
0,99985,99985,99985,"S"
1,98926.8486852495,98907.4754340101,98937.7501698084,"S"
2,97858.3696922299,97762.6254549096,97901.183628498,"S"
3,96769.7254156052,96417.8952110994,96872.9599466044,"S"
4,95648.0961007355,94588.5259417834,95853.6553256098,"S"
5,94471.9776188973,91538.229037913,94844.791899585,"S"
6,93203.4680881551,86011.8310811235,93845.6813021553,"S"
7,91834.4031904675,76610.7797914138,92854.9834857695,"S"
8,90315.1714250366,63771.9904827967,91876.7139251067,"S"
9,88585.2024563576,48835.7865686966,90907.1349057733,"S"
10,86655.2117563484,36743.8524268318,89947.4216901173,"S"
11,84366.1778639415,30607.3537696208,88997.6593481216,"S"
12,81853.0442042,27727.3527966532,88057.9607037058,"S"
13,79087.2548965814,26376.3705732711,87128.4612578539,"S"
14,76176.1079197502,25560.670885532,86209.3102724275,"S"
15,73367.107739793,24816.7500680631,85300.658954317,"S"
16,70780.0006591754,24080.8994429705,84402.647136945,"S"
17,68422.2735979555,23580.5225132109,83515.3899859761,"S"
18,66142.3423575791,23206.1053588028,82638.96617988,"S"
19,64119.0067109851,22899.282632159,81778.9646537887,"S"
20,62345.3816366903,22629.0828610831,80935.0314302872,"S"
21,60858.8853005645,22379.1419476262,80101.4331540306,"S"
22,59567.1713674762,22140.8509861608,79277.7945415341,"S"
23,58404.2236340639,21909.698699988,78463.7626518565,"S"
24,57371.2472868321,21683.3280930607,77659.0131903995,"S"
25,56478.777307521,21460.5088308378,76863.2537268758,"S"
26,55711.2188420762,21240.5967148539,76076.2243751238,"S"
27,54965.1424793591,21023.2508956795,75297.6965544573,"S"
28,54233.2376595028,20808.2867319981,74527.4704336182,"S"
29,53559.0478471099,20595.5996473819,73765.3716305022,"S"
30,52928.2176225202,20385.1259407285,73011.2475404108,"S"
31,52343.5001214011,20176.8227244968,72264.9637251388,"S"
32,51782.9709607713,19970.6577090726,71526.4005197947,"S"
33,51236.9480733405,19766.6040279023,70795.4500328042,"S"
34,50702.4059467597,19564.6376293351,70072.0135867122,"S"
35,50168.4790389627,19364.7359678786,69355.9996145824,"S"
36,49643.0428388097,19166.8773511793,68647.3219808823,"S"
37,49127.1960656554,18971.0406143063,67945.8986748351,"S"
38,48619.5035409273,18777.2049582208,67251.6508233239,"S"
39,48118.9500024805,18585.3498691655,66564.5019594111,"S"
40,47624.819692245,18395.4550782033,65884.3774900918,"S"
41,47136.6080234798,18207.5005405227,65211.2043197357,"S"
42,46653.9576728019,18021.4664261014,64544.9105834693,"S"
43,46176.6130013103,17837.3331089917,63885.4254662102,"S"
44,45704.3878518492,17655.0811044553,63232.6790784968,"S"
45,45237.1431622853,17474.6906957379,62586.6023706959,"S"
46,44774.7715172817,17296.1432146969,61947.1270366974,"S"
47,44317.1866206732,17119.4196203864,61314.1856184825,"S"
48,43864.3161948603,16944.5013863646,60687.7112168072,"S"
49,43416.097240268,16771.3708321886,60067.6378196355,"S"
50,42972.4728999328,16600.0093936105,59453.8999865529,"S"
51,42533.3904079873,16430.40015076,58846.4318120912,"S"
0,12,12,12,"I1"
1,19.417062894111,11.5894200235534,33.4980176441043,"I1"
2,30.756780497164,10.995975097629,91.2278806329848,"I1"
3,47.6809545658981,10.2515113244943,241.717401891586,"I1"
4,72.3091526657822,9.39323938029132,618.487504910325,"I1"
5,107.190992688649,8.46071726835983,1500.53472537831,"I1"
6,155.150076562069,7.49296738637201,3315.50623287233,"I1"
7,209.091718088431,6.52596783072597,6205.11861673174,"I1"
8,286.303080414474,5.59072646801497,8998.24606115145,"I1"
9,380.980374493264,4.71204924352351,9190.80447436155,"I1"
10,491.315108178772,3.90799340890721,7900.0293996765,"I1"
11,602.052357965154,3.18993738376634,6511.57554002886,"I1"
12,703.848847126796,2.43308159372735,5264.92501311127,"I1"
13,809.167672295749,1.82977957192025,4007.24269514989,"I1"
14,747.74413825951,1.41028572083011,3449.19396393509,"I1"
15,660.464353806585,1.03740253583295,2954.61790237222,"I1"
16,526.874399181218,0.41820325353894,2392.09108482316,"I1"
17,439.473583397704,0.220434646572238,1952.55909360088,"I1"
18,350.337251353759,0.101219600563504,1504.60299996313,"I1"
19,270.529179013364,0.066074408902534,1225.35364123312,"I1"
20,213.693056159774,0.0426492213710544,956.562130749902,"I1"
21,140.1779009787,0.0271854255105576,723.320386077982,"I1"
22,99.7664849566271,0.0170997497450387,601.349310862896,"I1"
23,65.185381536448,0.00861186316997378,488.779954520288,"I1"
24,42.6526207317768,0.00396901751736731,372.556288283624,"I1"
25,30.3265429312391,0.00178536534646179,281.136823426131,"I1"
26,21.0258440483124,0.000737883563468287,207.16520572778,"I1"
27,13.1483738756703,0.000300064016053409,161.320681146788,"I1"
28,8.63295897283815,0.000121358333836668,120.422051878833,"I1"
29,5.15601413908904,4.88298802732848e-05,91.528837850675,"I1"
30,3.16899739379892,1.95467109649014e-05,69.6750652362622,"I1"
31,2.04531297575937,7.78486568409164e-06,52.6005779263339,"I1"
