"time","median","q025","q975","variable"
0,3,3,3,"I2"
1,4.00752633216831,2.46856208513458,7.17534593336755,"I2"
2,5.34765098302015,2.02949679295754,17.1381395153567,"I2"
3,7.12717435133508,1.66707319941438,40.854966433514,"I2"
4,9.48539934563107,1.36816561076771,97.0897112288509,"I2"
5,12.6028228848356,1.1218401956212,229.404187834367,"I2"
6,16.6182271513292,0.918996474243567,535.708585243878,"I2"
7,21.2881769921078,0.752069141868155,1218.29925405332,"I2"
8,26.3107463967392,0.60284968500605,2009.73178021202,"I2"
9,31.9072962030256,0.441866293910366,3516.90845159223,"I2"
10,33.8351752174478,0.261136359582123,4016.2053279421,"I2"
11,41.5486377346603,0.120581144386766,5819.77413042692,"I2"
12,37.3687949910499,0.0693400594340796,5281.24855837263,"I2"
13,35.0931990112563,0.0398380782380723,5212.95126219864,"I2"
14,28.3897168276545,0.0140053294272328,5228.15462375167,"I2"
15,25.7974468470712,0.00459262611689322,4469.90049941517,"I2"
16,23.681834976414,0.0018497377508112,4029.26340054529,"I2"
17,17.0036541945022,0.000624216978303793,3920.31177817493,"I2"
18,15.780184548554,0.000206065687306412,3705.83506276947,"I2"
19,12.9272602120079,6.46906436491833e-05,2984.19948481668,"I2"
20,9.01779221093192,2.01198951993234e-05,2488.68747635109,"I2"
21,6.27460358657715,6.22613599335147e-06,2047.44075861743,"I2"
22,4.32375876530346,1.92754729582921e-06,1519.12196560792,"I2"
23,2.81652652858385,5.96481660814764e-07,1368.68248123036,"I2"
24,1.84835373269918,2.14961619144517e-07,1440.804610755,"I2"
25,1.23939745962241,7.79023537023288e-08,1307.75094083896,"I2"
26,0.828396055707883,2.83010824083093e-08,1094.60444601718,"I2"
27,0.573742747665843,1.02820338930545e-08,946.535365437597,"I2"
28,0.356473405190639,4.05938395459651e-09,829.538269447404,"I2"
29,0.23131449454311,2.67041142449053e-09,786.754671120548,"I2"
30,0.147197438903727,2.16650208352758e-10,667.920647138255,"I2"
31,0.100107531333239,1.54283646856964e-10,554.842338847172,"I2"
32,0.0641195429107338,5.21087616660026e-11,475.033751693626,"I2"
33,0.0415712350509411,2.43018257142261e-11,471.655363282763,"I2"
34,0.0266850344977852,8.69415739253119e-12,417.620464412215,"I2"
35,0.0165995134147391,3.18963499799481e-12,350.649407692878,"I2"
36,0.0103339885767268,-3.56609450829681e-13,285.245339992852,"I2"
37,0.00639050806389578,-4.86057740748672e-11,225.414488422923,"I2"
38,0.00384012541673966,-5.64460167410821e-11,177.242070307773,"I2"
39,0.00253187831627137,-1.9294649890055e-11,160.14402825789,"I2"
40,0.00166628660213128,-2.77010125832327e-12,131.111654402355,"I2"
41,0.00105137638239523,-8.03430278583043e-11,107.173397511095,"I2"
42,0.00063808545457555,-1.51420432184805e-10,89.789860135851,"I2"
43,0.000366316094189209,-2.37005634259798e-11,84.8439771951828,"I2"
44,0.00023039412735994,-2.61158238341488e-10,84.4533473952307,"I2"
45,0.000148307788724603,-3.25487607762599e-11,75.5319353910712,"I2"
46,9.54627630785902e-05,-2.16069367317475e-10,71.2198186814025,"I2"
47,6.14390796612574e-05,-2.72066962611245e-10,66.7249715676674,"I2"
48,3.95484460384573e-05,-2.59024671277982e-10,62.0952548861843,"I2"
49,2.54163579334708e-05,-7.79539580489273e-11,55.7949643542501,"I2"
50,1.61671902472158e-05,-1.29580592409158e-09,45.5025319542378,"I2"
51,1.02840261068925e-05,-4.60992730404451e-11,37.073312185887,"I2"
