Medical Conditions Breakdown by Season (data downloaded on 9/13/2025)
SEASON,MEDICAL CONDITION,CHILDREN-PERCENT(%),ADULTS_18_49_PERCENT,FEMALES (15-44 YR)-PERCENT(%),ADULTS_50_64_PERCENT,ADULTS_65_PLUS_PERCENT,ADULTS_65_74_PERCENT,ADULTS_75_84_PERCENT,ADULTS_85_PLUS_PERCENT,ADULTS_OVERALL_PERCENT
2003-04,Metabolic disease,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003-04,Chronic lung disease,2.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003-04,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003-04,Immune suppression,1.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003-04,Asthma,17.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003-04,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003-04,Cardiovascular disease,2.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003-04,Renal disease,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003-04,No known condition,76.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Asthma,19.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Cardiovascular disease,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Chronic lung disease,2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Gastrointestinal/liver disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Immune suppression,4.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Metabolic disease,1.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,Renal disease,1.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004-05,No known condition,67.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2005-06,Asthma,18.6,27.4,N/A,15.5,12.0,17.4,8.8,11.8,16.2
2005-06,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2005-06,Cardiovascular disease,2.7,10.2,N/A,41.1,57.3,50.7,60.0,59.6,43.5
2005-06,Chronic lung disease,3.7,7.7,N/A,28.3,32.7,39.8,32.2,26.6,26.1
2005-06,Gastrointestinal/liver disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2005-06,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2005-06,Immune suppression,4.7,19.6,N/A,11.0,6.9,13.4,5.6,2.5,10.6
2005-06,Metabolic disease,2.7,15.8,N/A,37.0,31.9,40.8,30.3,25.6,29.1
2005-06,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2005-06,Renal disease,2.4,7.7,N/A,12.3,13.5,12.4,14.7,12.8,12.0
2005-06,No known condition,68.3,31.6,N/A,19.6,15.3,9.5,14.4,22.7,19.9
2006-07,Asthma,15.5,24.0,N/A,22.6,10.1,16.7,6.1,8.0,17.2
2006-07,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
